confinement,variance,slope,zc,mean_excursion,mean_strength,signal_rate,confinement_signal,n_windows,project,type,swap_with
0.7456896551724138,0.0812037992593485,0.001274976045611874,29.0,3.6875,0.8565613327104169,0.9396551724137931,0.7339449541284404,246,NGINX,Observed,
0.6206896551724138,0.10261682436912505,0.001981375084506881,38.0,4.0,0.8699309916848439,0.9827586206896551,0.6140350877192983,246,NGINX,Swap,SQLITE
0.6551724137931034,0.09306911354504656,4.287295288767379e-06,39.0,2.7586206896551726,0.7877585179397543,0.9396551724137931,0.6330275229357798,246,NGINX,Swap,WORDPRESS
0.7112068965517241,0.08087227256524496,0.0002517422575157132,36.0,2.7916666666666665,0.8210491058424988,0.9568965517241379,0.6981981981981982,246,NGINX,Swap,SCIPY
0.5588235294117647,0.08793314214870675,0.0010443646268209308,16.0,3.5294117647058822,0.8637419354916205,0.5689655172413793,,142,NGINX,Swap,REACT
0.7672413793103449,0.05711328366355956,0.00016163596179521986,38.0,2.347826086956522,0.8358252792002631,0.9655172413793104,0.7589285714285714,246,NGINX,Swap,CPYTHON
0.7352941176470589,0.08548701635701579,0.0019061022907232536,26.0,5.625,0.8982865752545081,0.6896551724137931,,177,NGINX,Swap,RUST
0.54,0.10119006981850352,-0.004569106405009397,9.0,5.3076923076923075,0.8400244610755364,0.6120689655172413,,157,NGINX,Swap,ANSIBLE
0.6379310344827587,0.09561969931475914,-0.0017209330805724274,23.0,3.5,0.878281463925584,0.9956896551724138,0.6363636363636364,246,NGINX,Swap,FFMPEG
0.7248908296943232,0.07676064975706187,0.00038577241470974196,32.0,3.0,0.8563939218282737,0.9568965517241379,,239,NGINX,Swap,LINUX
0.5588235294117647,0.08793314214870673,0.001044364626820936,16.0,3.5294117647058822,0.8637419354916205,0.5689655172413793,,142,NGINX,Swap,REACT
0.6802325581395349,0.09376387704107349,-0.0014799502927567612,17.0,3.4375,0.820066995449951,0.6637931034482759,,179,NGINX,Swap,FLASK
0.7758620689655172,0.05352213994342766,0.0007372593791425827,38.0,3.0588235294117645,0.8701037425483836,0.978448275862069,0.7709251101321586,246,NGINX,Swap,LLVM
0.7112068965517241,0.08087227256524508,0.00025174225751571443,36.0,2.7916666666666665,0.8210491058424989,0.9568965517241379,0.6981981981981982,246,NGINX,Swap,SCIPY
0.5775862068965517,0.10605375938958439,-0.0014099283566984713,37.0,3.769230769230769,0.7894302185205266,0.8922413793103449,0.5458937198067633,246,NGINX,Swap,FREEBSD
0.6802325581395349,0.09376387704107349,-0.0014799502927567625,17.0,3.4375,0.820066995449951,0.6637931034482759,,179,NGINX,Swap,FLASK
0.771551724137931,0.06563006774844263,0.0010191387473206294,33.0,2.789473684210526,0.7647572319462753,0.8706896551724138,0.7425742574257426,246,NGINX,Swap,PHP
0.5775862068965517,0.10605375938958433,-0.0014099283566984732,37.0,3.769230769230769,0.7894302185205269,0.8922413793103449,0.5458937198067633,246,NGINX,Swap,FREEBSD
0.64,0.09402846316536483,-0.00012009297216187283,19.0,3.5,0.7922697993673375,0.6637931034482759,,182,NGINX,Swap,SCIKIT_LEARN
0.54,0.10119006981850348,-0.0045691064050093965,9.0,5.3076923076923075,0.8400244610755365,0.6120689655172413,,157,NGINX,Swap,ANSIBLE
0.7931034482758621,0.05170462985111115,-0.000725430876396594,35.0,2.823529411764706,0.8490447800641844,0.9008620689655172,0.784688995215311,246,NGINX,Swap,LIBREOFFICE
0.5991379310344828,0.10174702615338958,0.0007558446496220005,27.0,3.3214285714285716,0.8372473147718457,0.9525862068965517,0.5882352941176471,246,NGINX,Swap,MEDIAWIKI
0.6475409836065574,0.09076889593882177,-0.0014107259519579988,13.0,5.375,0.8574202113134013,0.5043103448275862,,126,NGINX,Swap,ANGULAR
0.7352941176470589,0.08548701635701592,0.0019061022907232554,26.0,5.625,0.8982865752545081,0.6896551724137931,,177,NGINX,Swap,RUST
0.54,0.1011900698185034,-0.004569106405009396,9.0,5.3076923076923075,0.8400244610755364,0.6120689655172413,,157,NGINX,Swap,ANSIBLE
0.54,0.10119006981850356,-0.004569106405009394,9.0,5.3076923076923075,0.8400244610755364,0.6120689655172413,,157,NGINX,Swap,ANSIBLE
0.64,0.09402846316536485,-0.00012009297216187107,19.0,3.5,0.7922697993673375,0.6637931034482759,,182,NGINX,Swap,SCIKIT_LEARN
0.7370689655172413,0.07101832444509559,0.0010628641297792366,43.0,2.772727272727273,0.7808687715591085,0.8491379310344828,0.7208121827411168,246,NGINX,Swap,GIMP
0.6605504587155964,0.08201970862799007,-0.00032781005204292124,20.0,2.466666666666667,0.8116931082787822,0.4482758620689655,,112,NGINX,Swap,VSCODE
0.654054054054054,0.10011760339123468,-0.000451401711136732,21.0,3.764705882352941,0.8446256553113046,0.7543103448275862,,192,NGINX,Swap,REDIS
0.5775862068965517,0.10605375938958446,-0.0014099283566984726,37.0,3.769230769230769,0.7894302185205266,0.8922413793103449,0.5458937198067633,246,NGINX,Swap,FREEBSD
0.4722222222222222,0.14055697838015105,0.011928606608241986,9.0,4.222222222222222,0.7555388823754459,0.27155172413793105,,75,NGINX,Swap,FASTAPI
0.5588235294117647,0.08793314214870676,0.0010443646268209323,16.0,3.5294117647058822,0.8637419354916205,0.5689655172413793,,142,NGINX,Swap,REACT
0.4722222222222222,0.1405569783801511,0.011928606608241986,9.0,4.222222222222222,0.7555388823754458,0.27155172413793105,,75,NGINX,Swap,FASTAPI
0.7466666666666667,0.07640892657662923,0.00046843999291127346,10.0,2.375,0.9485992894275792,0.31896551724137934,,78,NGINX,Swap,VUE
0.771551724137931,0.06563006774844271,0.0010191387473206309,33.0,2.789473684210526,0.7647572319462753,0.8706896551724138,0.7425742574257426,246,NGINX,Swap,PHP
0.7672413793103449,0.05711328366355946,0.00016163596179521986,38.0,2.347826086956522,0.8358252792002631,0.9655172413793104,0.7589285714285714,246,NGINX,Swap,CPYTHON
0.7068965517241379,0.09685393271031642,0.00047040442722005415,39.0,3.238095238095238,0.7829281810309429,0.8448275862068966,0.6581632653061225,246,NGINX,Swap,MATPLOTLIB
0.7068965517241379,0.0968539327103166,0.0004704044272200537,39.0,3.238095238095238,0.7829281810309427,0.8448275862068966,0.6581632653061225,246,NGINX,Swap,MATPLOTLIB
0.7887931034482759,0.06143556222675481,0.00011434192979352984,33.0,4.083333333333333,0.8938984827025233,0.9698275862068966,0.7866666666666666,246,NGINX,Swap,WIRESHARK
0.5988372093023255,0.07698504376343815,-0.00011522221619918136,14.0,3.8333333333333335,0.8346378518401907,0.7112068965517241,,185,NGINX,Swap,GCC
0.7586206896551724,0.06377177648441787,0.0006086333816308387,37.0,4.3076923076923075,0.8875752283349353,0.9698275862068966,0.7511111111111111,246,NGINX,Swap,WEBKIT
0.6206896551724138,0.1026168243691252,0.0019813750845068833,38.0,4.0,0.8699309916848439,0.9827586206896551,0.6140350877192983,246,NGINX,Swap,SQLITE
0.6551724137931034,0.09306911354504657,4.287295288767325e-06,39.0,2.7586206896551726,0.7877585179397544,0.9396551724137931,0.6330275229357798,246,NGINX,Swap,WORDPRESS
0.7248908296943232,0.07676064975706176,0.0003857724147097422,32.0,3.0,0.8563939218282738,0.9568965517241379,,239,NGINX,Swap,LINUX
0.6592920353982301,0.09432948071323903,-0.00043348881558212304,41.0,3.85,0.8088562722314119,0.8577586206896551,,236,NGINX,Swap,DJANGO
0.646551724137931,0.09228579224264083,0.00017409011863465533,30.0,2.9285714285714284,0.7959481126225857,0.9525862068965517,0.6289592760180995,246,NGINX,Swap,POSTGRES
