project,metric,observed_value,simulated_median,simulated_q025,simulated_q975,percentile,pvalue,direction
REDIS,zero_crossing_freq,0.11038961038961038,0.14935064935064934,0.07142857142857142,0.24025974025974026,0.193,0.386,lower
REDIS,variance,0.054847561592493384,0.11397001409876727,0.06683462262600118,0.19607307555454784,0.005,0.01,lower
REDIS,confinement_ratio,0.8,0.5483870967741935,0.3548387096774194,0.7161290322580646,1.0,0.0,higher
GCC,zero_crossing_freq,0.10727969348659004,0.18773946360153257,0.12260536398467432,0.2567049808429119,0.009,0.018,lower
GCC,variance,0.11665957333201464,0.05381135963112479,0.03769977543145618,0.07443036910620614,1.0,0.0,higher
GCC,confinement_ratio,0.5725190839694656,0.7404580152671756,0.6220419847328245,0.8358778625954199,0.002,0.004,lower
POSTGRES,zero_crossing_freq,0.10891089108910891,0.132013201320132,0.07912541254125413,0.19150165016501644,0.197,0.394,lower
POSTGRES,variance,0.07841985737992858,0.11362123805210772,0.06849662526514853,0.18435312047725705,0.069,0.138,lower
POSTGRES,confinement_ratio,0.7368421052631579,0.5921052631578947,0.4407072368421053,0.7302631578947368,0.981,0.038000000000000034,higher
RUST,zero_crossing_freq,0.1978021978021978,0.13186813186813187,0.03296703296703297,0.24203296703296678,0.895,0.20999999999999996,higher
RUST,variance,0.05490733906182258,0.07310563481538399,0.03231643661860233,0.16444118354263437,0.249,0.498,lower
RUST,confinement_ratio,0.8586956521739131,0.6521739130434783,0.3695652173913043,0.8589673913043476,0.975,0.050000000000000044,higher
PHP,zero_crossing_freq,0.12083333333333333,0.13333333333333333,0.07083333333333333,0.2,0.388,0.776,lower
PHP,variance,0.09473997257326293,0.14742796590188256,0.08361087797581396,0.2544036554590359,0.089,0.178,lower
PHP,confinement_ratio,0.6473029045643154,0.5269709543568465,0.3651452282157676,0.6846473029045643,0.932,0.1359999999999999,higher
CPYTHON,zero_crossing_freq,0.12396694214876033,0.1652892561983471,0.0743801652892562,0.2644628099173554,0.204,0.408,lower
CPYTHON,variance,0.11368709918914775,0.09169786664578382,0.04983382790250554,0.17205270911443885,0.723,0.554,higher
CPYTHON,confinement_ratio,0.5983606557377049,0.6311475409836066,0.4262295081967213,0.8032786885245902,0.383,0.766,lower
PYTORCH,zero_crossing_freq,0.18333333333333332,0.21666666666666667,0.1,0.35,0.376,0.752,lower
PYTORCH,variance,0.041815726010928735,0.09063831576160586,0.04672690934533725,0.1855660057232392,0.012,0.024,lower
PYTORCH,confinement_ratio,0.8524590163934426,0.639344262295082,0.4098360655737705,0.8032786885245902,0.995,0.010000000000000009,higher
NODE,zero_crossing_freq,0.16161616161616163,0.15151515151515152,0.06060606060606061,0.26287878787878766,0.617,0.766,higher
NODE,variance,0.06442000910737423,0.048642449536415514,0.031961483781324705,0.07267486842909611,0.902,0.19599999999999995,higher
